,District,Founding President,Charter Date,President,Club Meeting,Club website
70,Bayern-Süd,Steding,02.08.1991,Harald Leonpacher,2. u. 4 Do 19.00 UhrGasthof Gut KeferlohKeferloh 285630 Grasbrunn,http://www.lionsclub-muenchen-keferloh.de
71,Bayern-Süd,Fritz Aulenbach,13.11.2010,Adolph Hengge,jeden 2. & 4. Montag 19.00 UhrLimmerhofMünchner Straße 4382024 Taufkirchen,http://www.lions-koenig-otto.de
72,Bayern-Süd,Guido Lorenz,20.05.2019,Ulf Schröder,Augustiner StammhausNeuhauser Straße 2780331 München,https://www.lions.de/web/muenchen-mare-nostrum/
73,Bayern-Süd,Groß,30.11.1985,Felix Bergauer,1. Montag (19.00) u. 3. Montag (12.30)RestaurantWeinhaus NeunerHerzogspitalstrasse 980331 München,http://www.lcmuenchen-marienplatz.de
74,Bayern-Süd,Bruno Diazzi,08.05.2011,Daniela Di Benedetto,,
75,Bayern-Süd,Bernhard Heudorf,21.11.2005,Christian Mangstl,,http://www.lionsclub-metropolitan.de
76,Bayern-Süd,Dr. Blume,27.01.2005,Marion Heiss,1. Montag im Monat Business MeetingRatskellerMarienplatz 880331 München,
77,Bayern-Süd,H. C. Opfermann+,08.09.1973,Fabian Linack,"2. und 4. Dienstag, 18:30 UhrRestaurant AugustinerNeuhauser Str. 2780331 München",http://www.lionsclub-muenchen.de
78,Bayern-Süd,Rybka,01.06.1979,Ludwig Thiede,Jeden 4. Dienstag um 19:00 UhrTiroler StubeHotel Bayerischer HofPromenadeplatz 280333 München,http://www.lionsclub-muenchen-olympiaturm.de
79,Bayern-Süd,Dr. Paul Müller,27.11.1976,Marten Behmer,2. u. 4. Mo.Hotel Vier Jahreszeiten KempinskiMaximilianstr. 1780539 München,http://www.lionsclub-muenchen-opera.de
80,Bayern-Süd,Dr. Kersten,13.10.1984,Klaus Lössl,1. und 3. MontagHotel LimmerhofMünchener Str. 4382024 Taufkirchen,http://www.lions-ottobrunn.de
81,Bayern-Süd,"Runge, Christian",26.02.1999,Claudia Willer,"1. und 3. Di., ab 19:00 UhrWaldgasthof BuchenhainAm Klettergarten 782065 Baierbrunn",http://www.lions-pullach.de
82,Bayern-Süd,Prof. Dr. Stochdorph,24.09.1966,Johannes Peter Martin,"2. Do.Restaurant Zum Sollner HirschenSollner Str. 4381479 Muenchen, Germany",http://www.lions-solln.de
83,Bayern-Süd,Frhr. v. Hammerstein,15.07.1972,Silvan Forster,"2. u. 4. Mo, 19.00,Gasthaus und Hotel zum ERDINGER Weissbräu MünchenHeiglhofstrasse 1381377 München",https://www.lions.de/web/lc-muenchen-wuermtal
84,Bayern-Süd,Marcus Pflug,03.11.2012,Luca Hummel,,http://www.lions-neu-ulm.de
85,Bayern-Süd,Ludwig Schlosser,27.04.1996,Christoph Spindler,"nach Ansage, Montags 19.15 Uhr (im Sommerhalbjahr)Wittelsbacher GolfclubRohrenfeld 10286633 Neuburg an der Donau",http://www.lions-neuburg.de
86,Bayern-Süd,Möller,14.06.1986,,3. Montag im MonatHotel GumbergerEchingerstr.85375 Neufahrn,https://www.e-clubhouse.org/sites/neufahrn_de/
87,Bayern-Süd,K. Grimm,15.06.2002,Thomas Reichenzeller,,http://www.lions-neusaess.de
88,Bayern-Süd,Kuttner,29.11.2003,Barbara Karl,"1. u. 3. Mo., 19.30 UhrGaststätte Zur PostKapellplatz84503 Altötting",http://www.lc-neuoetting.de
89,Bayern-Süd,Dr. Kleemann+,24.10.1964,Andreas Eder,1. Fr. 20:00 UhrSchlössle RestaurantWürzburger Straße 186720 Nördlingen,https://www.lions.de/web/lc-noerdlingen/start
90,Bayern-Süd,Dr. Mahlau,08.07.1961,Martin Steinbauer,"1. Mi im Monat, 19.00 UhrHotel Prinz-Luitpold-Bad, Bad HindelangA.-Gross-Str. 787541 Bad Hindelang",http://www.lions-oberallgaeu.de
91,Bayern-Süd,Dr. Fritz,30.04.1982,,2. Dienstag  des Monats um  20:00 UhrHotel am KofelHubertusstr. 282487 Oberammergau,
92,Bayern-Süd,Koch,22.10.1983,Gerhard Rieger,"idR. 1. Montag im Monat, 19.00 Uhr""Zum Hirschen""Hotel und Gasthaus Beim StöckelerKirchstr. 188175 Scheidegg",http://www.lions-oberstaufen-westallgaeu.de
93,Bayern-Süd,Dr. Gabriela Gaschler,29.04.2019,Gabriela Gaschler,etwa 14-tägigHotel Schlossanger AlpAm Schloßsanger 187459 Pfronten,http://lc-viasalina.de/
94,Bayern-Süd,Konrad Roth,15.05.1982,Georg Schultes,2. MO um 19:30Klostergaststätte ScheyernSchyrenplatz 185298 Scheyern,http://www.lionsclub-pfaffenhofen.de
95,Bayern-Süd,Konrad Roth,15.05.1982,Georg Schultes,2. MO um 19:30Klostergaststätte ScheyernSchyrenplatz 185298 Scheyern,http://www.lionsclub-pfaffenhofen.de
96,Bayern-Süd,Dr. Zerkiebel+,06.10.1962,Thomas Toepfer,19.00 idR jeden 2. und 4. Dienstag im MonatMy HotelAm Oberfeld 2583026 Rosenheim,http://www.lc-ro.de
97,Bayern-Süd,Scholz,07.12.1991,Cristobal Bolbrügge,"1. u. 3. Mo im Monat, Ausnahmen in den Ferien,Sehbehinderten- und BlindenzentrumEingang Edith-Stein-Strasse85716 Unterschleissheim",http://www.lions-schleissheim.de
98,Bayern-Süd,Dr. Fischer,16.09.1994,Florentine Susanne Mortsch,2. u. 4. Mo 19:30 UhrRestaurant DragonerAmmergauer Str. 1186971 Peiting,http://www.lions-schongau.de
99,Bayern-Süd,Vassel,23.11.1991,Thomas Bleis,"Zweiwöchentlich Do. 19.45 hGasthof ""Zum Voglbräu""St.-Leonhard-Straße 286250 Inchenhofen",http://www.lions.de/web/lc-schrobenhausen-aichach/start
100,Bayern-Süd,Dr. Hartweger,12.06.1971,Jens Achtmann,1. Donnerstag im Monat 18.50 UhrGasthof - HotelHiltenfinger KellerAugsburger Str. 8986856 Hiltenfingen (bei Schwabmünchen),https://schwabmuenchen-lechfeld-buchloe.lions.de
101,Bayern-Süd,Dr. Hild,06.10.1963,Wulf Ito,1. Montag im Monat um 19.30 UhrGolfclub Waldhaus c/o Golf Resort SonnenalpMuderbolz 1087527 Ofterschwang,http://www.lions-club-sonthofen.de
102,Bayern-Süd,Ritter,04.05.1974,Ulrike Holzmüller-Weber,1. u. 3. Die 19:30Seestub`n PerchaSchiffbauer Weg 2082319 Starnberg/Percha,http://www.starnberg.lions.de
103,Bayern-Süd,Chr. v. Mitschke-Collande,13.06.1964,Wolfgang Bernhard Winter,2. und 4. DoForsthaus am SeeAm See 182343 Pöcking-Possenhofen,https://www.lions.de/web/lc-starnberger-see-buzentaurus
104,Bayern-Süd,Michael Behrens,15.09.2007,Martin Jetter,"1. und 3. Montag im Monat, 19.00 UhrStrandhouse StarnbergStrandbadstraße 1782319 Starnberg",http://www.lions-ludwigii.de
105,Bayern-Süd,Dr. Unterhuber,21.05.1966,Peter Lachenmeir,2. u 4. Di 19.30 hParkhotel 1888 TraunsteinBahnhofstr. 1183278 Traunstein,http://www.lions-traunstein.de
106,Bayern-Süd,Simone Pieper-Cuber,17.01.2013,Marie-Therese Hohe,"1. Freitag im Monat, 19.00 UhrHotel Gut IsingKirchberg 383339 Chieming / Ising",https://uebersee-forum-am-chiemsee-cyber.lions.de/
107,Bayern-Süd,Joachim Ries,12.06.2010,Johannes Selders,Jeden 2. Mittwoch im Monat  19:30Landhaus TannerAglassing 183329 Waging am See,http://www.lions-wagingersee.de
108,Bayern-Süd,Frhr. v. Crailsheim,05.10.1963,Barbara Brandt-Opitzer,2. Freitag 19.30 UhrHuberwirt am KellerbergSatzburger-Str. 2583512 Wasserburg,
109,Bayern-Süd,Dr. Busch,04.11.1967,Robert Stöppel,"2. u. 4. Mo., 19.00 UhrGaststätte zum GögerlAm Gögerl 182362 Weilheim",https://www.lions-weilheim-ammersee.de/
110,Bayern-Süd,Schuckmann,26.04.2003,Irmi Thalhammer,2. und 4. Mittwoch im Monat0173-356 56 81bitte telefonisch erfragenxxx82515 Wolfratshausen,http://www.lcwg.de
